"country","incomeperperson.x","internetuserate.x","urbanrate.x","Population..2020.","Yearly.Change","Net.Change","Density..P.Km².","Land.Area..Km².","Migrants..net.","Fert..Rate","Med..Age","Urban.Pop..","World.Share","incomeperperson.y","internetuserate.y","urbanrate.y","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","incomeperperson","internetuserate","urbanrate","Country.Code","Year","Value"
"Belarus",2737.670379,32.05214391,73.46,9448772,"-0.03 %",-3088,47,202910,8730,"1.7","40","79 %","0.12 %",2737.670379,32.05214391,73.46,81,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2737.670379,32.05214391,73.46,"BLR",2016,47407217531.162
"Belgium",24496.04826,73.73393447,97.36,11598451,"0.44 %",50295,383,30280,48000,"1.7","42","98 %","0.15 %",24496.04826,73.73393447,97.36,18,6.923,1.356,1.504,0.986,0.473,0.16,0.21,24496.04826,73.73393447,97.36,"BEL",2016,467955709817.539
"Benin",377.0396995,3.129961803,41.2,12175480,"2.73 %",322049,108,112760,-2000,"4.9","19","48 %","0.16 %",377.0396995,3.129961803,41.2,102,4.883,0.393,0.437,0.397,0.349,0.175,0.082,377.0396995,3.129961803,41.2,"BEN",2016,8583031398.21675
"Bhutan",1324.194906,13.59887603,34.48,773069,"1.12 %",8516,20,38117,320,"2.0","28","46 %","0.01 %",1324.194906,13.59887603,34.48,95,5.082,0.813,1.321,0.604,0.457,0.37,0.167,1324.194906,13.59887603,34.48,"BTN",2016,2212638830.39439
"Bolivia",1232.794137,20.00171014,65.58,11700207,"1.39 %",159921,11,1083300,-9504,"2.8","26","69 %","0.15 %",1232.794137,20.00171014,65.58,61,5.779,0.776,1.209,0.706,0.511,0.137,0.064,1232.794137,20.00171014,65.58,"BOL",2016,33806395513.7482
"Bosnia and Herzegovina",2183.344867,52.00206064,47.44,3277152,"-0.61 %",-20181,64,51000,-21585,"1.3","43","52 %","0.04 %",2183.344867,52.00206064,47.44,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2183.344867,52.00206064,47.44,"BIH",2016,16910277133.6463
"Botswana",4189.436587,5.999835575,59.58,2359585,"2.08 %",47930,4,566730,3000,"2.9","24","73 %","0.03 %",4189.436587,5.999835575,59.58,148,3.488,1.041,1.145,0.538,0.455,0.025,0.1,4189.436587,5.999835575,59.58,"BWA",2016,15581137273.7728
"Brazil",4699.411262,40.650098,85.58,212821986,"0.72 %",1509890,25,8358140,21200,"1.7","33","88 %","2.73 %",4699.411262,40.650098,85.58,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086,4699.411262,40.650098,85.58,"BRA",2016,1796186586414.45
"Bulgaria",2549.558474,45.98658991,71.1,6939018,"-0.74 %",-51674,64,108560,-4800,"1.6","45","76 %","0.09 %",2549.558474,45.98658991,71.1,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004,2549.558474,45.98658991,71.1,"BGR",2016,53237882472.7108
"Burkina Faso",276.200413,1.4000607,19.56,20997293,"2.86 %",581895,76,273600,-25000,"5.2","18","31 %","0.27 %",276.200413,1.4000607,19.56,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113,276.200413,1.4000607,19.56,"BFA",2016,11693235542.0671
"Burundi",115.3059959,2.100212706,10.4,11948454,"3.12 %",360204,463,25680,2001,"5.5","17","14 %","0.15 %",115.3059959,2.100212706,10.4,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18,115.3059959,2.100212706,10.4,"BDI",2016,3007029030.4001
"Cambodia",557.9475126,1.259933609,21.56,16758448,"1.41 %",232423,95,176520,-30000,"2.5","26","24 %","0.21 %",557.9475126,1.259933609,21.56,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062,557.9475126,1.259933609,21.56,"KHM",2016,20016747754.0192
"Cameroon",713.6393027,3.999977346,56.76,26655083,"2.59 %",669483,56,472710,-4800,"4.6","19","56 %","0.34 %",713.6393027,3.999977346,56.76,96,5.044,0.549,0.91,0.331,0.381,0.187,0.037,713.6393027,3.999977346,56.76,"CMR",2016,32217497470.489
